longitude,latitude
"105.497064","10.35394"
"105.526222","10.392071"
"105.566999","10.46902"
"105.564733","10.48279"
"105.505003","10.528969"
"105.418501","10.532455"
"105.440933","10.452253"
"105.459635","10.427477"
"105.45498","10.417268"
"105.44912","10.390828"
"105.330858","10.499311"
"105.135301","10.467203"
"105.117604","10.585024"
"105.19165","10.535964"
"105.080634","10.951528"
"105.057319","10.920468"
"105.097928","10.861241"
"105.152529","10.872914"
"105.144083","10.711092"
"105.338288","10.348517"
"105.229588","10.218181"
"105.136239","10.278658"
"106.359693","10.029626"
"105.1397","10.300712"
"105.217757","10.368033"
"105.342695","10.263107"
"105.208069","10.452012"
"105.312013","10.386693"
"105.082754","10.470916"
"105.042559","10.589624"
"104.942259","10.424825"
"105.653302","9.366336"
"105.656377","9.306566"
"105.777297","9.39443"
"105.55081","9.318403"
"105.514422","9.317453"
"105.617818","9.187401"
"105.59086","9.271533"
"105.658597","9.207978"
"105.318734","9.304015"
"105.46028","9.435795"
"105.479653","9.453831"
"105.518983","9.35992"
"105.354666","9.341074"
"105.327445","9.310393"
"105.488332","9.400836"
"105.391145","9.372276"
"105.51678","9.329497"
"105.489133","9.348503"
"105.417045","9.394469"
"105.295119","9.471527"
"105.482094","9.519274"
"105.31875","9.302215"
"105.420812","9.31527"
"105.38146","9.21744"
"105.28966","9.114333"
"105.476635","9.244398"
"105.750585","9.215069"
"105.650677","9.202484"
"105.491734","9.122545"
"105.8064","9.313333"
"105.7547","9.305556"
"105.7689","9.301667"
"105.7706","9.306667"
"105.7047","9.3525"
"105.6661","9.289722"
"105.6056","9.3825"
"105.6661","9.289722"
"105.7481","9.316389"
"105.7822","9.327222"
"105.6356","9.350556"
"106.0278","9.334444"
"106.0106","9.429167"
"105.2778","9.621758"
"105.5572","9.277778"
"105.575","9.321111"
"105.4869","9.399444"
"105.4236","9.411111"
"105.54","9.391111"
"105.4236","9.411111"
"105.3333","9.360556"
"105.5269","9.500833"
"105.4256","9.228611"
"105.4253","9.308611"
"105.2589","9.213056"
"105.5122","9.253889"
"105.2817","9.129722"
"105.4903","9.116111"
"105.5656","9.191944"
"105.4389","9.106667"
"105.2814","9.164722"
"105.7292","9.21"
"105.5953","9.151111"
"106.215647","10.201379"
"106.071395","10.251819"
"106.254406","10.208692"
"106.090384","10.267292"
"106.159933","10.245683"
"106.178347","10.19335"
"106.169461","10.247077"
"106.186875","10.233469"
"106.090384","10.267292"
"106.043792","10.276144"
"106.350938","10.263093"
"106.301599","10.235716"
"106.303178","10.240077"
"106.293132","10.202989"
"106.272949","10.186593"
"106.27665","10.155609"
"106.288303","10.166532"
"106.331335","10.201271"
"106.243402","10.12482"
"106.325714","10.128785"
"106.288532","10.100395"
"106.325062","10.047471"
"106.375132","10.081943"
"106.386912","10.097166"
"106.356497","10.03548"
"106.405711","10.07666"
"106.403665","10.016865"
"106.447961","10.045293"
"106.448363","10.002288"
"106.434917","9.983403"
"106.465177","9.959881"
"106.508549","9.94891"
"106.201512","10.292273"
"106.212798","10.292421"
"106.238475","10.262158"
"106.257537","10.296536"
"106.274057","10.308525"
"106.359329","10.303946"
"106.356005","10.293209"
"106.390721","10.28751"
"106.390014","10.276192"
"106.442266","10.278903"
"106.357968","10.27169"
"106.283959","10.273411"
"106.446337","10.282537"
"106.522672","10.218174"
"106.555853","10.203751"
"106.575931","10.194107"
"106.62337","10.163189"
"106.43408","10.185981"
"106.394429","10.153836"
"106.476784","10.201731"
"106.464884","10.140021"
"106.453283","10.092874"
"106.535264","10.188875"
"106.550465","10.151996"
"106.49263","10.097509"
"106.609625","10.173889"
"106.54414","10.10417"
"106.573242","10.099575"
"106.489566","10.064059"
"106.551258","10.03176"
"106.538698","10.039838"
"106.530396","10.027978"
"106.612365","10.001958"
"106.652512","10.047889"
"106.636226","10.016579"
"105.139959","9.148073"
"105.140157","9.148217"
"105.155117","9.171213"
"105.251783","9.165946"
"105.196855","8.996367"
"105.193785","8.993058"
"105.054451","8.876284"
"105.069703","8.885617"
"105.015395","8.939716"
"105.013572","8.9332"
"104.805208","8.860879"
"104.817623","8.862176"
"104.993161","8.762316"
"105.03028","8.772199"
"105.02685","8.628864"
"105.058311","8.657758"
"104.975113","9.07497"
"104.828203","9.044156"
"104.820634","9.039449"
"104.843479","9.053826"
"104.821793","9.036679"
"105.09031","9.349248"
"105.149497","9.406988"
"104.972494","9.410037"
"104.831678","9.347171"
"105.04988","9.241847"
"105.033233","9.250802"
"105.060781","9.241874"
"105.056307","9.242036"
"105.139959","9.148073"
"105.140157","9.148217"
"105.155117","9.171213"
"105.251783","9.165946"
"105.196855","8.996367"
"105.193785","8.993058"
"105.054451","8.876284"
"105.069703","8.885617"
"105.015395","8.939716"
"105.013572","8.9332"
"104.805208","8.860879"
"104.817623","8.862176"
"104.993161","8.762316"
"105.03028","8.772199"
"105.02685","8.628864"
"105.058311","8.657758"
"104.975113","9.07497"
"104.828203","9.044156"
"104.820634","9.039449"
"104.843479","9.053826"
"104.821793","9.036679"
"105.09031","9.349248"
"105.149497","9.406988"
"104.972494","9.410037"
"104.831678","9.347171"
"105.04988","9.241847"
"105.033233","9.250802"
"105.060781","9.241874"
"105.056307","9.242036"
"105.139959","9.148073"
"105.140157","9.148217"
"105.155117","9.171213"
"105.251783","9.165946"
"105.196855","8.996367"
"105.193785","8.993058"
"105.054451","8.876284"
"105.069703","8.885617"
"105.015395","8.939716"
"105.013572","8.9332"
"104.805208","8.860879"
"104.817623","8.862176"
"104.993161","8.762316"
"105.03028","8.772199"
"105.02685","8.628864"
"105.058311","8.657758"
"104.975113","9.07497"
"104.828203","9.044156"
"104.820634","9.039449"
"104.843479","9.053826"
"104.821793","9.036679"
"105.09031","9.349248"
"105.149497","9.406988"
"104.972494","9.410037"
"104.831678","9.347171"
"105.04988","9.241847"
"105.033233","9.250802"
"105.060781","9.241874"
"105.056307","9.242036"
"105.139959","9.148073"
"105.140157","9.148217"
"105.155117","9.171213"
"105.251783","9.165946"
"105.196855","8.996367"
"105.193785","8.993058"
"105.054451","8.876284"
"105.069703","8.885617"
"105.015395","8.939716"
"105.013572","8.9332"
"104.805208","8.860879"
"104.817623","8.862176"
"104.993161","8.762316"
"105.03028","8.772199"
"105.02685","8.628864"
"105.058311","8.657758"
"104.975113","9.07497"
"104.828203","9.044156"
"104.820634","9.039449"
"104.843479","9.053826"
"104.821793","9.036679"
"105.09031","9.349248"
"105.149497","9.406988"
"104.972494","9.410037"
"104.831678","9.347171"
"105.04988","9.241847"
"105.033233","9.250802"
"105.060781","9.241874"
"105.056307","9.242036"
"105.152793","9.174816"
"105.152475","9.174843"
"105.143884","9.180626"
"105.145013","9.179351"
"105.150877","9.184359"
"105.130193","9.201806"
"105.16856","9.176745"
"105.150127","9.175658"
"105.148767","9.166704"
"105.148103","9.190647"
"105.158476","9.181995"
"105.161133","9.179959"
"105.144242","9.164101"
"105.149547","9.182433"
"105.21507","9.172505"
"105.211282","9.169893"
"105.214049","9.169041"
"105.214661","9.17218"
"105.21272","9.169739"
"105.130222","9.206093"
"105.127618","9.206836"
"105.128328","9.204412"
"105.128483","9.206049"
"105.218167","9.217367"
"105.264333","9.257833"
"104.857133","9.177733"
"104.89285","8.910817"
"104.90385","9.326583"
"105.045567","9.458867"
"105.1469","8.925267"
"105.3276","9.00825"
"105.055633","9.049867"
"105.127617","9.03795"
"104.867583","8.847333"
"105.1128","9.1475"
"105.168883","9.061167"
"105.080833","9.43595"
"104.917267","9.10665"
"104.94145","9.23405"
"104.978175","9.246231"
"105.462783","10.28401"
"105.434518","10.189772"
"105.243781","10.22565"
"105.426874","10.229115"
"105.437876","10.194877"
"105.487791","10.239078"
"105.472418","10.25387"
"105.550895","10.265847"
"105.576206","10.224119"
"105.594693","10.223489"
"105.527171","10.249209"
"105.506949","10.302981"
"105.549388","10.23888"
"105.548075","10.224303"
"105.523757","10.244041"
"105.578005","10.204409"
"105.580966","10.24105"
"105.551189","10.176817"
"105.505689","10.291497"
"105.507313","10.290636"
"105.557366","10.242756"
"105.487333","10.189797"
"105.515579","10.206558"
"105.44491","10.119113"
"105.490345","10.177972"
"105.494498","10.200657"
"105.465809","10.085422"
"105.443297","10.134437"
"105.430107","10.093076"
"105.416758","10.067281"
"105.461506","10.088738"
"105.504677","10.078156"
"105.446209","10.121047"
"105.591209","10.086162"
"105.561669","10.066723"
"105.571206","10.07207"
"105.534257","10.006805"
"105.478872","10.018828"
"105.613955","10.054032"
"105.532493","10.049533"
"105.59105","10.023857"
"105.522396","9.978516"
"105.536384","10.05186"
"105.493729","10.026178"
"105.614723","10.083641"
"105.601411","10.056017"
"105.607012","10.01539"
"105.519406","9.97455"
"105.546288","10.080333"
"105.460024","10.014749"
"105.694595","10.104663"
"105.598413","10.176535"
"105.71908","10.0664"
"105.647672","10.06236"
"105.595062","10.176098"
"105.634684","10.23707"
"105.572369","10.161731"
"105.610882","10.13282"
"105.585623","10.156372"
"105.652464","10.071856"
"105.648598","10.05998"
"105.679203","10.106612"
"105.698734","10.115388"
"105.656435","10.072346"
"105.644585","10.143337"
"105.680306","10.114958"
"105.702661","10.010517"
"105.71698","9.994721"
"105.703287","10.005008"
"105.712999","9.990056"
"105.674187","10.002861"
"105.612808","9.982414"
"105.702063","10.004016"
"105.610146","9.983603"
"105.616029","9.987816"
"105.782338","10.047219"
"105.688258","10.02991"
"105.679817","9.998789"
"105.663865","9.988149"
"105.693011","9.964793"
"105.682101","10.039799"
"105.682868","10.035556"
"105.648662","10.032387"
"105.668923","9.994298"
"105.606536","9.990167"
"105.694669","9.963849"
"105.766311","9.999198"
"106.343567","10.584192"
"105.782928","9.981415"
"105.761352","9.993114"
"105.776479","10.000947"
"105.797084","10.00259"
"105.794185","9.999874"
"105.750327","9.967626"
"105.753698","9.97773"
"105.754621","9.978424"
"105.831844","9.9807"
"105.799244","9.994083"
"105.720528","10.057163"
"105.686365","10.062608"
"105.686596","10.063874"
"105.724177","10.023774"
"105.720919","10.023221"
"105.689431","10.06649"
"105.730528","10.028002"
"105.723217","10.022872"
"105.729693","10.033801"
"105.728521","10.023964"
"105.691678","10.059278"
"105.375988","10.197017"
"105.39874","10.04983"
"106.343567","10.584192"
"105.566572","10.010098"
"105.574489","10.038259"
"105.551049","10.354541"
"105.51355","10.357868"
"105.873077","10.259642"
"105.689311","10.383704"
"105.755211","10.327476"
"105.644835","10.28586"
"105.66044","10.289582"
"105.665905","10.282797"
"105.850204","10.270021"
"105.707128","10.377587"
"105.705473","10.376533"
"105.707944","10.38256"
"105.827285","10.273671"
"105.816929","10.258838"
"105.750178","10.284376"
"105.767076","10.297522"
"105.351201","10.305811"
"105.757277","10.293566"
"105.848379","10.520882"
"105.650698","10.414624"
"105.636969","10.442289"
"105.638541","10.451339"
"105.609313","10.442406"
"105.609404","10.442406"
"105.840161","10.526719"
"105.797068","10.334881"
"105.809311","10.333096"
"105.781457","10.352265"
"105.700588","10.439126"
"105.694504","10.447469"
"105.657121","10.505871"
"105.648836","10.419529"
"105.648836","10.419529"
"105.638712","10.432365"
"105.649272","10.457991"
"105.574813","10.492067"
"105.575343","10.496914"
"105.575343","10.496914"
"105.570021","10.500242"
"105.792538","10.65411"
"105.636621","10.459835"
"105.37584","10.712262"
"105.46995","10.865907"
"105.451133","10.88642"
"105.276406","10.891022"
"105.350792","10.791851"
"105.350792","10.791851"
"105.502792","10.54686"
"105.497296","10.550938"
"105.497296","10.550938"
"105.234237","10.815974"
"105.557193","10.673455"
"105.556694","10.670471"
"105.636126","9.930086"
"105.649253","9.827655"
"105.649253","9.827655"
"105.410611","9.747713"
"105.573051","9.682957"
"105.416761","9.751903"
"105.416761","9.751903"
"105.820793","9.799201"
"105.820793","9.799201"
"105.842007","9.980702"
"105.842871","9.97578"
"105.842871","9.97578"
"105.705423","9.665617"
"105.547031","9.852852"
"105.547426","9.854588"
"105.689045","9.652482"
"105.826844","9.816487"
"105.826844","9.816487"
"105.471152","9.788407"
"105.471159","9.788416"
"105.646384","9.740194"
"105.744324","9.780991"
"105.744324","9.780991"
"105.813993","9.922548"
"105.813993","9.922548"
"105.606509","9.700672"
"105.572114","9.748439"
"105.52465","9.736234"
"105.556419","9.690319"
"105.660417","9.952333"
"105.700033","9.834427"
"105.583958","9.816532"
"105.726982","9.955659"
"105.840629","9.951847"
"105.840629","9.951847"
"105.577057","9.880749"
"105.646594","9.876507"
"105.77941","9.71075"
"105.848039","9.960031"
"105.848039","9.960031"
"105.572313","9.682886"
"105.728799","9.943762"
"105.732745","9.962375"
"105.732745","9.962375"
"105.876941","9.950686"
"105.538722","9.756362"
"105.848781","9.961268"
"105.887656","9.942528"
"105.572313","9.682886"
"105.572114","9.748439"
"105.660417","9.952333"
"105.538722","9.756362"
"105.52465","9.736234"
"105.606509","9.700672"
"105.700033","9.834427"
"105.863603","9.960298"
"105.820793","9.799201"
"105.719152","9.920956"
"105.719271","9.921136"
"105.43642","9.760525"
"105.436575","9.76028"
"105.729101","9.952669"
"105.728899","9.951829"
"105.830244","9.972049"
"105.378475","9.796138"
"105.804804","9.76689"
"105.564152","9.65961"
"105.564161","9.659158"
"105.823689","9.801527"
"105.824189","9.800812"
"105.734314","9.966558"
"105.734295","9.966495"
"105.734268","9.966441"
"105.734277","9.966432"
"105.734295","9.966396"
"105.734241","9.966658"
"105.734232","9.966595"
"105.734213","9.966532"
"105.734213","9.966477"
"105.73414","9.966396"
"105.734204","9.966296"
"105.808525","9.805082"
"105.808552","9.805064"
"105.808416","9.805028"
"105.574767","9.678685"
"105.574913","9.678558"
"105.575104","9.678513"
"105.715132","9.863182"
"105.603893","9.822276"
"105.578388","9.968846"
"105.800345","9.762957"
"105.627439","9.918644"
"105.60299","9.961911"
"105.602633","9.961459"
"105.559225","9.606257"
"105.559161","9.606284"
"105.572722","9.682352"
"105.848249","10.030489"
"106.343567","10.584192"
"105.848989","9.957125"
"105.724416","9.954181"
"105.53236","9.751832"
"105.82053","9.803696"
"105.820621","9.803669"
"105.74084","9.919471"
"105.740886","9.919489"
"105.740895","9.919498"
"105.810276","9.767419"
"105.848542","9.960554"
"105.849194","9.962108"
"105.718348","9.966051"
"105.825452","9.817693"
"105.824595","9.817768"
"105.572768","9.682623"
"105.811597","9.924082"
"105.261544","9.514989"
"105.84431","9.960637"
"105.718089","9.884882"
"105.718408","9.884962"
"105.666817","9.900742"
"105.666799","9.900733"
"105.830244","9.972049"
"105.830053","9.972231"
"105.763744","9.891935"
"105.73671","9.891878"
"105.473816","9.783058"
"105.474354","9.78266"
"105.473071","9.784968"
"105.473098","9.78438"
"105.719089","9.921227"
"105.719153","9.921082"
"105.719043","9.920802"
"105.457441","9.622523"
"105.821454","9.819765"
"105.821647","9.820027"
"105.820945","9.820155"
"105.820926","9.819893"
"105.823135","9.791174"
"105.823071","9.791201"
"105.823143","9.790667"
"105.823254","9.791653"
"105.823518","9.791426"
"105.823591","9.791263"
"105.664356","9.91084"
"105.739418","9.91573"
"105.739527","9.915666"
"105.7395","9.915756"
"105.78993","9.884359"
"105.597734","9.614576"
"105.597825","9.614558"
"105.597779","9.614495"
"105.759838","9.894847"
"105.759738","9.894738"
"105.53813","9.756671"
"105.538266","9.756508"
"105.69415","9.763742"
"105.756215","9.85375"
"105.541867","9.665597"
"105.690597","9.922852"
"105.690605","9.922626"
"105.566518","9.931197"
"105.566363","9.931143"
"105.335602","9.69218"
"105.336012","9.692288"
"105.470283","9.662736"
"105.470411","9.662899"
"105.538152","9.707886"
"105.53818","9.708121"
"105.752154","9.940916"
"105.752602","9.941349"
"105.769839","9.90848"
"105.769703","9.908689"
"105.758268","9.822255"
"105.75834","9.821893"
"105.48334","9.703554"
"105.845622","9.938829"
"105.75184","9.899305"
"105.75195","9.899287"
"105.657435","9.883956"
"105.2618","9.515748"
"105.657708","9.883748"
"105.543642","9.849258"
"105.543532","9.849421"
"105.731518","9.952329"
"105.546404","9.854038"
"105.546188","9.845021"
"105.283991","9.727889"
"105.282216","9.729358"
"105.282071","9.729521"
"105.187932","9.816647"
"105.265031","9.792922"
"105.265205","9.792885"
"105.314675","9.776392"
"105.314565","9.776247"
"105.390173","9.744694"
"105.213985","9.769871"
"105.221377","9.747843"
"105.252803","9.784493"
"105.252785","9.784358"
"105.261253","9.515198"
"105.22778","9.643135"
"105.227807","9.643225"
"105.262977","9.602379"
"105.262787","9.602569"
"105.150026","9.877525"
"105.150062","9.877254"
"103.920085","10.303187"
"103.920121","10.303459"
"103.918445","10.301276"
"105.031906","9.740675"
"105.031085","9.740902"
"105.03175","9.74063"
"105.053637","9.83244"
"105.053811","9.832593"
"104.929741","9.769643"
"104.929704","9.769634"
"105.235663","9.69334"
"105.238406","9.693243"
"105.370981","9.886848"
"105.399362","9.879638"
"105.215923","9.823245"
"105.215704","9.823128"
"105.241329","9.856318"
"105.241284","9.856409"
"105.403027","9.838805"
"105.402944","9.838715"
"105.236891","9.923118"
"105.236927","9.922873"
"105.105439","9.754001"
"105.105503","9.753938"
"105.105627","9.756804"
"105.105678","9.755059"
"105.147013","10.033143"
"106.470446","10.653307"
"106.470446","10.653307"
"106.470446","10.653307"
"106.470446","10.653307"
"106.470446","10.653307"
"106.470446","10.653307"
"106.470446","10.653307"
"106.470446","10.653307"
"106.470446","10.653307"
"106.470446","10.653307"
"106.525314","10.634574"
"106.525314","10.634574"
"106.525314","10.634574"
"106.438565","10.749282"
"106.438565","10.749282"
"106.438565","10.749282"
"106.438565","10.749282"
"106.438565","10.749282"
"106.438565","10.749282"
"106.438565","10.749282"
"106.438565","10.749282"
"106.443199","10.720998"
"106.443199","10.720998"
"106.533684","10.639531"
"106.533684","10.639531"
"106.533684","10.639531"
"106.533684","10.639531"
"106.533684","10.639531"
"106.539448","10.683142"
"106.539448","10.683142"
"106.539448","10.683142"
"106.539448","10.683142"
"106.539448","10.683142"
"106.484186","10.70176"
"106.484186","10.70176"
"106.422901","10.720313"
"106.422901","10.720313"
"106.422901","10.720313"
"106.407416","10.783503"
"106.407416","10.783503"
"106.407416","10.783503"
"106.407416","10.783503"
"106.407416","10.783503"
"106.407416","10.783503"
"106.407416","10.783503"
"106.407416","10.783503"
"106.510657","10.666689"
"106.510657","10.666689"
"106.510657","10.666689"
"106.510657","10.666689"
"106.510657","10.666689"
"106.510657","10.666689"
"106.510657","10.666689"
"106.427704","10.659562"
"106.459323","10.608111"
"106.459323","10.608111"
"106.459323","10.608111"
"106.449073","10.637926"
"106.449073","10.637926"
"106.449127","10.637947"
"106.619756","10.590436"
"106.619756","10.590436"
"106.619756","10.590436"
"106.619756","10.590436"
"106.619756","10.590436"
"106.619756","10.590436"
"106.619756","10.590436"
"106.616363","10.572689"
"106.690171","10.632146"
"106.690171","10.632146"
"106.690171","10.632146"
"106.690171","10.632146"
"106.652458","10.540198"
"106.652458","10.540198"
"106.652458","10.540198"
"106.635201","10.565006"
"106.633548","10.605887"
"106.633548","10.605887"
"106.633548","10.605887"
"106.633548","10.605887"
"106.611395","10.629335"
"106.611395","10.629335"
"106.611395","10.629335"
"106.611395","10.629335"
"106.611395","10.629335"
"106.611395","10.629335"
"106.611395","10.629335"
"106.611395","10.629335"
"106.67847","10.609862"
"106.67847","10.609862"
"106.71413","10.57007"
"106.71413","10.57007"
"106.606772","10.638993"
"106.606772","10.638993"
"106.606772","10.638993"
"106.293389","10.967387"
"106.470431","10.818513"
"106.418472","10.845141"
"106.380893","10.879909"
"106.380893","10.879909"
"106.380893","10.879909"
"106.380893","10.879909"
"106.380893","10.879909"
"106.380893","10.879909"
"106.447189","10.808223"
"106.447189","10.808223"
"106.447189","10.808223"
"106.447189","10.808223"
"106.447189","10.808223"
"106.034036","10.755106"
"106.034036","10.755106"
"106.034036","10.755106"
"105.941461","10.782683"
"105.941461","10.782683"
"106.057682","10.731494"
"106.057682","10.731494"
"106.057682","10.731494"
"106.057682","10.731494"
"106.057682","10.731494"
"105.904576","10.79656"
"105.904576","10.79656"
"105.929699","10.817443"
"105.901218","10.830249"
"105.971304","10.758778"
"105.881472","10.744757"
"105.881472","10.744757"
"106.447303","10.586879"
"105.663422","10.925988"
"105.663422","10.925988"
"105.723401","10.876287"
"105.62643","10.86003"
"105.765758","10.803185"
"105.765758","10.803185"
"105.765758","10.803185"
"105.563313","10.932004"
"105.719888","10.716965"
"105.592296","10.906753"
"105.794051","10.73294"
"105.794051","10.73294"
"105.794051","10.73294"
"105.782155","10.662089"
"105.782155","10.662089"
"105.648306","10.809619"
"105.893294","10.66557"
"105.893294","10.66557"
"105.834931","10.647954"
"105.834931","10.647954"
"105.834931","10.647954"
"105.973385","10.573177"
"105.973385","10.573177"
"105.973385","10.573177"
"105.973385","10.573177"
"105.973385","10.573177"
"105.973385","10.573177"
"105.973385","10.573177"
"106.044991","10.544338"
"106.044991","10.544338"
"106.044991","10.544338"
"106.044991","10.544338"
"106.044991","10.544338"
"106.044991","10.544338"
"105.886775","10.638111"
"105.886775","10.638111"
"106.031711","10.642798"
"106.031711","10.642798"
"106.031711","10.642798"
"105.922636","10.635291"
"105.922636","10.635291"
"105.922636","10.635291"
"105.922636","10.635291"
"106.063446","10.576923"
"106.063446","10.576923"
"106.063446","10.576923"
"105.943503","10.627518"
"106.009371","10.618993"
"106.009371","10.618993"
"106.368509","10.660788"
"106.368509","10.660788"
"106.368509","10.660788"
"106.368509","10.660788"
"106.447303","10.586879"
"106.447303","10.586879"
"106.516721","10.5386"
"106.447303","10.586879"
"106.447303","10.586879"
"106.447303","10.586879"
"106.447303","10.586879"
"106.447303","10.586879"
"106.447303","10.586879"
"106.467234","10.565655"
"106.467234","10.565655"
"106.467234","10.565655"
"106.467234","10.565655"
"106.467234","10.565655"
"106.467234","10.565655"
"106.467234","10.565655"
"106.467234","10.565655"
"106.467234","10.565655"
"106.467234","10.565655"
"106.495842","10.520883"
"106.495842","10.520883"
"106.495842","10.520883"
"106.495842","10.520883"
"106.495842","10.520883"
"106.495842","10.520883"
"106.495842","10.520883"
"106.495842","10.520883"
"106.495842","10.520883"
